Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
EAOM,95,0,0.00,0,0.00,27.66,95,0
PBSM,92,0,0.00,0,0.00,33.26,92,0
EAOA,91,0,0.00,0,0.00,30.40,91,0
EMTL,86,0,0.00,0,0.00,51.16,86,0
RESD,86,0,0.00,0,0.00,28.66,86,0
FJUN,85,0,0.00,0,0.00,34.00,85,0
QLC,82,0,0.00,100,39.35,40.98,82,0
TMDV,78,0,0.00,0,0.00,41.78,78,0
PSMG,69,0,0.00,0,0.00,16.15,69,0
RVRS,62,0,0.00,100,16.16,18.51,62,0
SOVB,61,0,0.00,0,0.00,26.00,61,0
FUT,50,0,0.00,0,0.00,40.09,50,0
NAPR,50,100,35.60,0,0.00,35.48,50,0
PWS,50,10,31.00,5,28.00,29.15,49,1
USEQ,50,0,0.00,0,0.00,31.06,50,0
ICOW,47,0,0.00,0,0.00,28.86,47,0
EAOR,40,0,0.00,0,0.00,28.99,40,0
ROMO,40,0,0.00,0,0.00,24.90,40,0
WLDR,39,0,0.00,0,0.00,23.08,39,0
PMAY,38,0,0.00,0,0.00,28.34,38,0
SFIG,34,0,0.00,0,0.00,51.82,34,0
ADFI,28,0,0.00,0,0.00,9.96,28,0
FEDX,26,0,0.00,0,0.00,26.53,26,0
OMFS,24,0,0.00,0,0.00,32.67,24,0
DEFA,22,0,0.00,0,0.00,30.30,22,0
ESCR,22,0,0.00,0,0.00,22.80,22,0
PBTP,20,0,0.00,0,0.00,25.86,20,0
SLT,20,0,0.00,0,0.00,35.80,20,0
LUXE,19,0,0.00,0,0.00,27.24,19,0
ACSI,12,0,0.00,0,0.00,43.16,12,0
DFND,12,0,0.00,0,0.00,36.52,12,0
ESGG,11,1,128.00,0,0.00,124.56,11,0
LYFE,10,100,26.10,0,0.00,26.00,10,0
UJUN,10,0,0.00,0,0.00,27.95,10,0
EMDV,9,0,0.00,18,56.34,57.42,9,0
XJR,9,0,0.00,0,0.00,33.33,9,0
MBBB,8,0,0.00,0,0.00,25.27,8,0
STSB,7,0,0.00,0,0.00,40.12,7,0
FCPI,6,0,0.00,0,0.00,25.38,6,0
STLG,6,0,0.00,0,0.00,31.68,6,0
TTAI,5,0,0.00,0,0.00,32.20,5,0
EURZ,4,0,0.00,0,0.00,24.76,4,0
MIG,4,0,0.00,0,0.00,25.21,4,0
PSEP,4,0,0.00,0,0.00,27.89,4,0
AGT,3,0,0.00,0,0.00,25.86,3,0
IBHE,3,0,0.00,0,0.00,24.89,3,0
MRGR,3,0,0.00,0,0.00,39.18,3,0
TFIV,3,0,0.00,100,23.15,23.78,3,0
REC,2,0,0.00,0,0.00,25.41,2,0
DSOC,1,0,0.00,50,25.52,28.05,1,0
GSEE,1,0,0.00,0,0.00,54.25,1,0
GSUS,1,0,0.00,0,0.00,51.97,1,0
LIV,1,0,0.00,0,0.00,26.00,1,0
PBDM,1,0,0.00,0,0.00,27.53,1,0
STLC,1,0,0.00,0,0.00,35.63,1,0
UAPR,1,1300,24.99,0,0.00,24.91,1,0
AMER,0,0,0.00,0,0.00,0.00,0,0
ARCM,0,0,0.00,0,0.00,0.00,0,0
AUGZ,0,0,0.00,0,0.00,0.00,0,0
BAUG,0,0,0.00,0,0.00,0.00,0,0
BJUN,0,0,0.00,0,0.00,0.00,0,0
BMAY,0,0,0.00,0,0.00,0.00,0,0
BNOV,0,0,0.00,0,0.00,0.00,0,0
BOCT,0,0,0.00,0,0.00,0.00,0,0
CFCV,0,0,0.00,0,0.00,0.00,0,0
DECZ,0,0,0.00,0,0.00,0.00,0,0
DEFN,0,0,0.00,0,0.00,0.00,0,0
DFVL,0,0,0.00,0,0.00,0.00,0,0
DFVS,0,0,0.00,0,0.00,0.00,0,0
DJUL,0,0,0.00,0,0.00,0.00,0,0
DJUN,0,0,0.00,0,0.00,0.00,0,0
DMAY,0,0,0.00,0,0.00,0.00,0,0
DOCT,0,0,0.00,0,0.00,0.00,0,0
EAOK,0,0,0.00,0,0.00,0.00,0,0
EGIS,0,0,0.00,0,0.00,0.00,0,0
EMSH,0,0,0.00,8,71.84,0.00,0,0
ESEB,0,0,0.00,0,0.00,0.00,0,0
ESHY,0,0,0.00,0,0.00,0.00,0,0
FDEV,0,0,0.00,0,0.00,0.00,0,0
FJUL,0,0,0.00,0,0.00,0.00,0,0
FLBL,0,0,0.00,0,0.00,0.00,0,0
FLHY,0,0,0.00,0,0.00,0.00,0,0
FLIA,0,0,0.00,0,0.00,0.00,0,0
FLQS,0,0,0.00,0,0.00,0.00,0,0
FSEP,0,0,0.00,0,0.00,0.00,0,0
GSID,0,0,0.00,0,0.00,0.00,0,0
HCRB,0,0,0.00,0,0.00,0.00,0,0
HSRT,0,0,0.00,0,0.00,0.00,0,0
IBHF,0,0,0.00,0,0.00,0.00,0,0
JULZ,0,0,0.00,0,0.00,0.00,0,0
LSLT,0,0,0.00,0,0.00,0.00,0,0
MAAX,0,0,0.00,0,0.00,0.00,0,0
MSTB,0,0,0.00,0,0.00,0.00,0,0
NVMZ,0,0,0.00,0,0.00,0.00,0,0
OCTZ,0,0,0.00,0,0.00,0.00,0,0
PSCX,0,0,0.00,0,0.00,0.00,0,0
PSFD,0,0,0.00,0,0.00,0.00,0,0
PSMD,0,0,0.00,4,20.60,0.00,0,0
RDFI,0,0,0.00,0,0.00,0.00,0,0
RODE,0,0,0.00,0,0.00,0.00,0,0
RODI,0,200,96.32,200,95.91,0.00,0,0
RTAI,0,0,0.00,0,0.00,0.00,0,0
SEPZ,0,0,0.00,0,0.00,0.00,0,0
STLV,0,0,0.00,0,0.00,0.00,0,0
STMB,0,0,0.00,0,0.00,0.00,0,0
TEGS,0,0,0.00,0,0.00,0.00,0,0
TFLT,0,0,0.00,0,0.00,0.00,0,0
UMAY,0,0,0.00,0,0.00,0.00,0,0
UNOV,0,0,0.00,0,0.00,0.00,0,0
VWID,0,0,0.00,0,0.00,0.00,0,0
